id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,lat,lng,place_id
3821,Arepas Bites,RESTAURANT,Sandwich|Fast Food|Burgers,4.1,102,restaurants,24.79785959,46.62748284,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3822,YOGi,RESTAURANT,Healthy,4.3,394,restaurants,24.79784872,46.62748391,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3823,Curry Nation,RESTAURANT,Arabic,0,0,restaurants,24.7978821,46.6274726,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3824,Hoopla burger,RESTAURANT,Burgers,4.4,25,restaurants,24.7978821,46.6274726,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3825,Double Prime,RESTAURANT,Sandwich|Desserts|Beverages,4.1,48,restaurants,24.7978821,46.6274726,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3826,TRMSU,RESTAURANT,Desserts,2,1,restaurants,24.7978821,46.6274726,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3827,Crunch Bakery,RESTAURANT,Desserts|Bakery,4.6,19,restaurants,24.79791331,46.6274369,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3828,THE SEVEN MAHASHI,RESTAURANT,Fast Food|Arabic,3,2,restaurants,24.79785735,46.62744846,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3829,Royal Flip Burger,RESTAURANT,Arabic,5,5,restaurants,24.79784329,46.6274408,ChIJSTfj9IPjLj4RUCQkfcSsB18
3830,Baby bans,RESTAURANT,Sandwich|Breakfast,4.3,19,restaurants,24.7979194,46.6274131,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3831,PALOVA,RESTAURANT,Arabic,3.8,91,restaurants,24.7979194,46.6274131,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3832,Lareen,RESTAURANT,Desserts,3.7,11,restaurants,24.7979194,46.6274131,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3833,Baco,RESTAURANT,Fast Food|Burgers,3.3,23,restaurants,24.7979194,46.6274131,ChIJzU-v7YPjLj4RN9AQ3DkxgOM
3834,Ahal Dirah,RESTAURANT,Arabic,4.2,97,restaurants,24.7978069,46.6274198,ChIJSTfj9IPjLj4RUCQkfcSsB18
3835,Sol olas,RESTAURANT,Desserts|Beverages|Coffee,4.2,150,restaurants,24.7665245,46.6487264,ChIJj9VE_ObiLj4R83_qozU4qk4
