id,place_name,average_rating,granular_category,lat,lng
7609,Dunkin Dontes,3.7,cafe,24.6924338,46.6052778
7610,Coffee,4.3,cafe,24.6929145,46.6062344
7611,Parties,5,cafe,24.693589,46.6119892
7612,Gorgeous,,cafe,24.6914515,46.6121438
7613,Shish rental,5,cafe,24.6911818,46.6127847
7614,Shahi Jamr,3.5,cafe,24.7194662,46.5999909
7615,Hi Cafe,4.5,cafe,24.7152526,46.60783
7616,It is sufficient,,cafe,24.6610249,46.592477
7617,Vanky Switz X Reson is enough,3.6,cafe,24.686557,46.6215908
7618,Amazon Cafe,4.4,cafe,24.7101127,46.619458
7619,Shahi Raz,5,cafe,24.7890226,46.8332302
7620,"For the sale of firewood, charcoal, Shahi and Karak Abdulaziz Al -Shahrani milk",5,cafe,24.7886975,46.8295237
7621,Tea time,4.5,cafe,24.7856266,46.822553
7622,Fatima Saad Mesfer Al -Hababi Foundation,4.2,cafe,24.7840533,46.8207703
7623,Horizon Caf̬,3.3,cafe,24.7826828,46.8195582
7624,Sand tea,5,cafe,24.7895863,46.8328644
7625,Bid Coffee,4.6,cafe,24.7890478,46.8291461
7626,I & coffee,,cafe,24.785019,46.821564
7627,Come take Sobia and the Spirit of Russia,5,cafe,24.7849027,46.8214231
7628,Coffee horizon,5,cafe,24.7827502,46.8194487
7629,Insect,4.5,cafe,24.7890719,46.8289682
7630,Leave Abdulaziz tea,5,cafe,24.7847274,46.8209608
7631,Shahi B4,5,cafe,24.7898782,46.8317607
7632,McDonald's,3.1,restaurant,24.774057,46.776218
7633,Konafa Day,4,restaurant,24.7849657,46.7765139
7634,Dominos Pizza,3.9,restaurant,24.7459358,46.7760887
7635,Cuzenos casting,3.6,restaurant,24.7452951,46.7764115
7636,Romance - Kindergarten,4.2,restaurant,24.7448607,46.7766015
7637,Kodo,3.5,restaurant,24.7451588,46.776239
7638,Pizza and Pasta Diamond,3.8,restaurant,24.7416262,46.7788788
7639,Subway,4.4,restaurant,24.7817132,46.7718934
7640,McDonald's,3.7,restaurant,24.753345,46.769497
7641,Gulf grill,4.2,restaurant,24.7534718,46.7694819
7642,Kentucky,3.6,restaurant,24.8062418,46.8028031
7643,Dominos Pizza,4,restaurant,24.7708907,46.7660583
7644,Kodo,3.8,restaurant,24.8055741,46.7991467
7645,Burger King,3.8,restaurant,24.806379,46.801048
7646,Herfy,2.9,restaurant,24.6858624,46.7747586
7647,McDonald's,3.1,restaurant,24.685878,46.774818
7648,Canton,3.5,restaurant,24.6846917,46.7752602
7649,Charles Feli Stex,3.4,restaurant,24.685355,46.775555
7650,Kentucky,3.7,restaurant,24.6855874,46.7757075
7651,Steak House,4.1,restaurant,24.6836047,46.7755936
7652,Al -Moez Street,4,restaurant,24.6787572,46.7771643
7653,Organo Petzaria,4.1,restaurant,24.6811926,46.7778689
7654,Pineapple,4.3,restaurant,24.6811235,46.7778867
7655,Tarf and Tarif,3.7,cafe,24.7334375,46.5748125
7656,Kofi legacy,,cafe,24.7331,46.5771114
7657,Caf̩,5,cafe,24.6051943,46.7084781
7658,Barak for Saudi coffee and saffron,,cafe,24.6053918,46.7086852
7659,The start of the game,4.3,cafe,24.5961281,46.6999085
7660,Barn,4.3,cafe,24.6038921,46.7054285
7661,The Spacee/The Space,5,cafe,24.5960763,46.6994244
7662,Karak Batbi,4.8,cafe,24.5945761,46.7351662
7663,Stylecoffee style,4.2,cafe,24.6036347,46.7043848
7664,Director Corner Caf̩,4.5,cafe,24.6079845,46.7189698
7665,D/ How,4.3,cafe,24.5941235,46.7356199
7666,Shisha Caf̩,3.7,cafe,24.6057264,46.7062511
7667,Riyadh,,cafe,24.57827,46.7303801
7668,Caf̩ enjoy 777,3.5,cafe,24.6059253,46.7061877
7669,entity,3.9,cafe,24.5943163,46.7362621
7670,A luxurious night cafe,5,cafe,24.6061528,46.7062936
7671,Starbucks,4.5,cafe,24.595814,46.697872
7672,Dr. Kev,4.2,cafe,24.5958125,46.6975625
7673,Fast Kofi,4.4,cafe,24.5960689,46.7362312
7674,"Falafel Falhaa Damascus, Arafat's road",4.2,restaurant,24.5460521,46.7190778
7675,Buffy liver and Hamis Bandar,4.6,restaurant,24.546049,46.7190695
7676,Saj,3.9,restaurant,24.5460029,46.7190374
7677,Tasali Al -Jawhara Nasser Abdul Aziz bin Atiq,4.7,restaurant,24.5489795,46.7183542
7678,Tajal Al -Shifa crown,5,restaurant,24.5490409,46.7181526
7679,Restaurants of Al -Nahar Al -Bukhari,3.7,restaurant,24.5440137,46.7288694
7680,Glory and fast meals hot pizza,3.8,restaurant,24.553124,46.7290299
7681,For fast food,4.2,restaurant,24.5531239,46.7290414
7682,Southern Pyramids Restaurant fast food,3.3,restaurant,24.5428635,46.7273792
7683,Buffy entity,4.4,restaurant,24.5438483,46.7290807
7684,Liquidation,3.8,restaurant,24.5438641,46.7291266
7685,Good nights of falafel,3.6,restaurant,24.5428687,46.7274707
7686,Al -Saraya Corner Restaurant Al -Shifa Road Arafat,4,restaurant,24.5545387,46.7261721
7687,A buffet for fast food and shawarma,3.8,restaurant,24.542811,46.7274985
7688,Tags Taj,4.2,restaurant,24.5494568,46.7177061
7689,Rama Pizza Al -Shifa Branch,4.6,restaurant,24.5548208,46.7263376
7690,Grill,4.5,restaurant,24.5548589,46.7261614
7691,Places of baskets,4.7,restaurant,24.5548852,46.7263853
7692,Waterfall Places Restaurant,4.4,restaurant,24.554887,46.7264081
7693,"Checks for meals (Brussd, Pizza and Burger)",4.1,restaurant,24.5483211,46.731895
7694,Naval restaurants,3.8,restaurant,24.6818251,46.6968814
7695,McDonald,3.8,restaurant,24.711986,46.697324
7696,Dominos Pizza,4.1,restaurant,24.6808436,46.6949017
7697,Starbucks haven,3.8,cafe,24.6873033,46.7328036
7698,Bora Cuff,4,cafe,24.686195,46.7490064
7699,Gloria Jeans Coffees,5,cafe,24.6805299,46.7422635
7700,Difference coffee,4.3,cafe,24.6862761,46.749106
7701,Covlz,,cafe,24.680455,46.742363
7702,Saleh Al Marzouq Caf̩,4.7,cafe,24.6864431,46.7496343
7703,Mun we get off,4.8,cafe,24.6808819,46.7359173
7704,Different moments,3.8,cafe,24.6867748,46.7505293
7705,Barn's |Barn,3.2,cafe,24.692488,46.732431
7706,"Malayali Chai Shop, buffet",3.9,cafe,24.6781095,46.7412141
7707,Coffee,4.2,cafe,24.694171,46.732345
7708,Cookies & Cream,4.4,cafe,24.6884607,46.7526411
7709,Bicato Cafe,4.4,cafe,24.6883642,46.7526609
7710,Starbucks,4.1,cafe,24.6887,46.753031
7711,Long ships (Frum Dubai Taha Riad),4.2,cafe,24.67843,46.7348183
7712,Arabica Cafe Arabica Cafe,2.4,cafe,24.6979475,46.7351093
7713,"Watan, Kaf & Long",4,cafe,24.688651,46.7534626
7714,Dunkin ' - Dunkin,3.8,cafe,24.6769693,46.7372186
7715,How,4.3,cafe,24.6988435,46.7363944
7716,Cafe de Jardan,3,cafe,24.6768921,46.736561
7717,Platz Babbab Retsorana,5,restaurant,24.6944716,46.5946289
7718,Kisha,4.7,restaurant,24.6897961,46.5948991
7719,Lorenzo,4.1,restaurant,24.6898047,46.5949578
